x,f,i,t,o,h,f_eval,g_eval,h_eval
"[[ 0.34202014 -0.81256749  0.74603694 ...  0.          0.
   0.        ]
 [ 0.93969262 -0.64131546  0.53552156 ...  0.          0.
   0.        ]
 [ 0.34202014 -0.21162013  0.11117154 ...  0.          0.
   0.        ]
 [ 0.93969262  0.18083188  0.19590429 ...  0.          0.
   0.        ]]","[1.41359358e+05 9.53957717e+04 6.37200286e+04 4.93711940e+04
 3.20414062e+04 1.98740530e+04 9.67073844e+03 7.91677880e+03
 6.76822511e+03 2.96723965e+03 1.41065567e+03 1.02621752e+03
 4.70625568e+02 2.84227857e+02 1.19483504e+02 1.11172772e+02
 7.68983065e+01 6.61752317e+01 3.00885332e+01 1.73707078e+01
 1.41950483e+01 1.20268636e+01 5.01588704e+00 4.48659429e+00
 2.51854880e+00 1.78354307e+00 1.72661375e+00 1.46586331e+00
 6.18588878e-01 5.86213520e-01 4.46164474e-01 2.61336555e-01
 2.29606590e-01 1.17099263e-01 4.98415649e-02 4.91832934e-02
 4.60177032e-02 3.28087608e-02 1.35091446e-02 1.13017898e-02
 1.07695992e-02 8.44645285e-03 5.80274193e-03 4.81753347e-03
 4.41726089e-03 2.84415599e-03 1.69640920e-03 1.62026658e-03
 1.28926572e-03 9.55989757e-04]",49,0.039286136627197266,Converged. Gradient norm is below tolerance.,"[4.41176008e+05 3.61974269e+05 2.70244133e+05 2.23473742e+05
 1.61612656e+05 1.12957998e+05 6.58109268e+04 5.66389059e+04
 5.03569534e+04 2.71310525e+04 1.55333942e+04 1.22357133e+04
 6.81873047e+03 4.67137084e+03 2.43876073e+03 2.31039596e+03
 1.75235266e+03 1.56568301e+03 8.66905335e+02 5.74146950e+02
 4.93466554e+02 4.35777682e+02 2.26142070e+02 2.07995181e+02
 1.34880244e+02 1.04117963e+02 1.01614814e+02 8.98707510e+01
 4.70451691e+01 4.51854629e+01 3.68164374e+01 2.46452575e+01
 2.23638538e+01 1.34916598e+01 7.10474507e+00 7.03416091e+00
 6.69135305e+00 5.18979504e+00 2.66408486e+00 2.32962978e+00
 2.24663794e+00 1.87135458e+00 1.41076871e+00 1.22634098e+00
 1.14878521e+00 8.24429551e-01 5.58241491e-01 5.39213940e-01
 4.53713024e-01 3.61870464e-01]",3463,99,0
"[[ 0.34202014 -0.55284148  0.44306918 ...  0.          0.
   0.        ]
 [ 0.93969262 -0.28566561  0.31693243 ...  0.          0.
   0.        ]
 [ 0.34202014 -0.08707802  0.05293603 ...  0.          0.
   0.        ]
 [ 0.93969262  0.35153861  0.20369302 ...  0.          0.
   0.        ]]","[1.41359358e+05 1.28924999e+04 8.67334646e+03 1.24049820e+03
 3.56954385e+00 4.64548545e-03 1.34052988e-04]",6,0.00125885009765625,Converged. Gradient norm is below tolerance.,"[4.41176008e+05 7.74441631e+04 6.02201622e+04 1.40500683e+04
 1.70639702e+02 7.24065874e-01 7.30536044e-02]",94,7,0
"[[0.34202014 0.24030982 0.17442797 ... 0.         0.         0.        ]
 [0.93969262 0.69791033 0.47143563 ... 0.         0.         0.        ]
 [0.34202014 0.43771034 0.50538613 ... 0.         0.         0.        ]
 [0.93969262 0.96797112 0.96269387 ... 0.         0.         0.        ]]","[1.41359358e+05 7.72651412e+04 4.47663286e+04 2.66576655e+04
 1.48815891e+04 8.52375078e+03 4.47356970e+03 2.50302876e+03
 1.46216927e+03 7.79567377e+02 4.44682905e+02 2.31603027e+02
 1.30331546e+02 6.70927134e+01 3.74283456e+01 1.91369727e+01
 1.06083413e+01 6.15427268e+00 3.25916495e+00 1.85042899e+00
 9.60089190e-01 5.38635065e-01 2.76698801e-01 1.54057511e-01
 8.98899541e-02 4.78453035e-02 2.73105290e-02 1.42380850e-02
 8.03185704e-03 4.14852186e-03 2.32484894e-03 1.19600327e-03]",31,0.01611495018005371,Converged. Gradient norm is below tolerance.,"[4.41176008e+05 2.67994856e+05 1.68199283e+05 1.10479663e+05
 7.01607863e+04 4.55841953e+04 2.82112808e+04 1.81099953e+04
 1.19724230e+04 7.50258315e+03 4.89132235e+03 3.02558187e+03
 1.95465609e+03 1.20033685e+03 7.70402255e+02 4.70858546e+02
 3.00644319e+02 1.97846705e+02 1.23469689e+02 8.02174983e+01
 4.94848883e+01 3.18836030e+01 1.95408355e+01 1.25131836e+01
 8.26442345e+00 5.17062307e+00 3.36854052e+00 2.08129135e+00
 1.34342033e+00 8.23882427e-01 5.27949040e-01 3.21954164e-01]",63,64,32
"[[0.34202014 0.24030982 0.17442797 ... 0.         0.         0.        ]
 [0.93969262 0.69791033 0.47143563 ... 0.         0.         0.        ]
 [0.34202014 0.43771034 0.50538613 ... 0.         0.         0.        ]
 [0.93969262 0.96797112 0.96269387 ... 0.         0.         0.        ]]","[1.41359358e+05 7.72651412e+04 4.47663286e+04 2.66576655e+04
 1.48815891e+04 8.52375078e+03 4.47356970e+03 2.50302876e+03
 1.46216927e+03 7.79567377e+02 4.44682905e+02 2.31603027e+02
 1.30331546e+02 6.70927134e+01 3.74283456e+01 1.91369727e+01
 1.06083413e+01 6.15427268e+00 3.25916495e+00 1.85042899e+00
 9.60089190e-01 5.38635065e-01 2.76698801e-01 1.54057511e-01
 8.98899541e-02 4.78453035e-02 2.73105290e-02 1.42380850e-02
 8.03185704e-03 4.14852186e-03 2.32484894e-03 1.19600327e-03]",31,0.015985488891601562,Converged. Gradient norm is below tolerance.,"[4.41176008e+05 2.67994856e+05 1.68199283e+05 1.10479663e+05
 7.01607863e+04 4.55841953e+04 2.82112808e+04 1.81099953e+04
 1.19724230e+04 7.50258315e+03 4.89132235e+03 3.02558187e+03
 1.95465609e+03 1.20033685e+03 7.70402255e+02 4.70858546e+02
 3.00644319e+02 1.97846705e+02 1.23469689e+02 8.02174983e+01
 4.94848883e+01 3.18836030e+01 1.95408355e+01 1.25131836e+01
 8.26442345e+00 5.17062307e+00 3.36854052e+00 2.08129135e+00
 1.34342033e+00 8.23882427e-01 5.27949040e-01 3.21954164e-01]",63,33,32
"[[ 0.34202014 -0.81256749 -0.18905902 ...  0.          0.
   0.        ]
 [ 0.93969262 -0.64131546 -0.94128331 ...  0.          0.
   0.        ]
 [ 0.34202014 -0.21162013 -0.42429624 ...  0.          0.
   0.        ]
 [ 0.93969262  0.18083188 -0.62569677 ...  0.          0.
   0.        ]]","[1.41359358e+05 9.53957717e+04 8.76002074e+04 8.68074190e+04
 8.68071320e+04 7.30185989e+04 3.01060213e-01 2.98750204e-01
 5.95272059e-02 2.32174206e-02 7.11063751e-03 2.41630062e-03
 8.02843190e-04]",12,0.0061187744140625,Converged. Gradient norm is below tolerance.,"[4.41176008e+05 3.61974269e+05 3.07853500e+05 3.01048022e+05
 3.01038368e+05 2.45297353e+05 2.08196712e+01 2.06990957e+01
 6.11955845e+00 2.99660341e+00 1.21577704e+00 5.30167206e-01
 2.24764999e-01]",458,38,0
"[[ 0.34202014 -0.55284148  0.24554799 ...  0.          0.
   0.        ]
 [ 0.93969262 -0.28566561 -0.52600794 ...  0.          0.
   0.        ]
 [ 0.34202014 -0.08707802 -0.2956513  ...  0.          0.
   0.        ]
 [ 0.93969262  0.35153861 -0.52965046 ...  0.          0.
   0.        ]]","[1.41359358e+05 1.28924999e+04 9.98670431e+03 9.63830826e+03
 9.63821524e+03 7.11321673e+02 2.92987888e+02 1.21935273e+02
 5.51151120e+01 2.77561969e+01 1.62325888e+01 1.11351406e+01
 8.57782771e+00 6.70662170e+00 4.62104875e+00 2.45255004e+00
 1.01535918e+00 3.79501136e-01 1.38426647e-01 5.09971415e-02
 1.94664881e-02 7.93037476e-03 3.58972733e-03 1.90590991e-03
 1.25394378e-03]",24,0.0039234161376953125,Converged. Gradient norm is below tolerance.,"[4.41176008e+05 7.74441631e+04 5.06244776e+04 4.39078437e+04
 4.39067909e+04 8.43779501e+03 4.52957249e+03 2.42000752e+03
 1.34984086e+03 7.95778281e+02 5.08497364e+02 3.56087079e+02
 2.69015257e+02 2.05483525e+02 1.41922972e+02 8.15910280e+01
 4.04874638e+01 1.92450154e+01 9.19848713e+00 4.52829593e+00
 2.34169995e+00 1.29779332e+00 7.88088104e-01 5.37722139e-01
 4.20496423e-01]",111,50,0
"[[ 0.34202014 -0.81256749 -0.17532005 ...  0.          0.
   0.        ]
 [ 0.93969262 -0.64131546 -0.04286353 ...  0.          0.
   0.        ]
 [ 0.34202014 -0.21162013 -0.02762821 ...  0.          0.
   0.        ]
 [ 0.93969262  0.18083188  0.3106493  ...  0.          0.
   0.        ]]","[1.41359358e+05 9.53957717e+04 2.53004577e+02 2.31018419e+02
 5.88345832e+01 2.48738201e+01 8.29875812e+00 2.81658731e+00
 9.07611534e-01 2.96407861e-01 9.64262758e-02 3.15091414e-02
 1.03307969e-02 3.41144823e-03 1.13875136e-03]",14,0.00323486328125,Converged. Gradient norm is below tolerance.,"[4.41176008e+05 3.61974269e+05 3.19633900e+03 2.96482574e+03
 9.58976132e+02 4.76693425e+02 1.99760451e+02 8.73849559e+01
 3.71879677e+01 1.60413146e+01 6.89751375e+00 2.97188999e+00
 1.28089217e+00 5.53059614e-01 2.39420218e-01]",145,43,0
"[[ 0.34202014 -0.55284148 -0.35522641 ...  0.          0.
   0.        ]
 [ 0.93969262 -0.28566561 -0.15990523 ...  0.          0.
   0.        ]
 [ 0.34202014 -0.08707802 -0.0565509  ...  0.          0.
   0.        ]
 [ 0.93969262  0.35153861  0.32872679 ...  0.          0.
   0.        ]]","[1.41359358e+05 1.28924999e+04 2.32722831e+03 1.03486982e+03
 3.39394758e+02 1.27558267e+02 4.57399977e+01 1.64032744e+01
 5.67629690e+00 1.90822959e+00 6.26865175e-01 2.04349082e-01
 6.66125484e-02 2.17747772e-02 7.15147306e-03 2.36708795e-03]",15,0.0026009082794189453,Converged. Gradient norm is below tolerance.,"[4.41176008e+05 7.74441631e+04 2.04172212e+04 1.07672486e+04
 4.41679207e+03 1.99981755e+03 8.68651741e+02 3.79193917e+02
 1.62975800e+02 6.96511406e+01 2.96930841e+01 1.27103485e+01
 5.46279807e+00 2.35254684e+00 1.01428164e+00 4.38050458e-01]",49,31,0
[-0.00617068 -0.00779256 -0.00281182 -0.00181021],"[1.41359358e+05 9.53957717e+04 9.31021852e+04 9.25457357e+04
 9.25454711e+04 1.08619043e+01 1.04531813e+01 2.10539916e+00
 8.12931013e-01 2.46833199e-01 8.23689396e-02 2.65451087e-02
 8.68930893e-03 2.83795349e-03 9.33544095e-04]",14,0.0061075687408447266,Converged. Gradient norm is below tolerance.,"[4.41176008e+05 3.61974269e+05 3.18076499e+05 3.10897757e+05
 3.10887823e+05 3.95170884e+02 3.83965957e+02 1.15447862e+02
 5.65488669e+01 2.31279589e+01 1.01512495e+01 4.33872524e+00
 1.87482740e+00 8.07659836e-01 3.48990609e-01]",451,44,0
[-0.00982297 -0.00215857  0.00085323  0.00099134],"[1.41359358e+05 1.28924999e+04 9.68024612e+03 9.04349556e+03
 9.04342480e+03 5.12485331e+02 3.62263849e+02 9.18496042e+01
 3.57480995e+01 1.22629893e+01 4.69101631e+00 1.91293900e+00
 9.00786150e-01 5.17198632e-01 3.80031441e-01 3.41022033e-01
 3.28984175e-01 3.18021721e-01 3.07148152e-01 2.96471489e-01
 2.85876665e-01 2.75467349e-01 2.65155687e-01 2.55021857e-01
 2.44999298e-01 2.35149419e-01 2.25422631e-01 2.15865542e-01
 2.06441956e-01 1.97186966e-01 1.88074831e-01 1.79131823e-01
 1.70340281e-01 1.61719846e-01 1.53259039e-01 1.44972636e-01
 1.36853851e-01 1.28914004e-01 1.21149864e-01 1.13570414e-01
 1.06175132e-01 9.89715481e-02 9.19612484e-02 8.51510201e-02
 7.85441567e-02 7.21472777e-02 6.59651593e-02 6.00047337e-02
 5.42721812e-02 4.87751676e-02 4.35213213e-02 3.85194247e-02
 3.37786898e-02 2.93093565e-02 2.51223782e-02 2.12296697e-02
 1.76439125e-02 1.43784810e-02 1.14470170e-02 8.86271829e-03
 6.63696364e-03 4.77699790e-03 3.28230481e-03 2.13975374e-03
 1.31879257e-03 7.69852813e-04]",65,0.009198665618896484,Converged. Gradient norm is below tolerance.,"[4.41176008e+05 7.74441631e+04 4.95815426e+04 4.24192355e+04
 4.24184708e+04 6.62238303e+03 5.14259941e+03 1.88755352e+03
 9.46871420e+02 4.32825358e+02 2.13680961e+02 1.09719473e+02
 6.17012052e+01 3.92975584e+01 2.95333682e+01 2.59486428e+01
 2.46450658e+01 2.34672492e+01 2.23293695e+01 2.12581450e+01
 2.02518507e+01 1.93329102e+01 1.85012978e+01 1.77708826e+01
 1.71394261e+01 1.66103842e+01 1.61760611e+01 1.58294045e+01
 1.55566254e+01 1.53429990e+01 1.51710525e+01 1.50230942e+01
 1.48816151e+01 1.47302229e+01 1.45542436e+01 1.43411240e+01
 1.40805034e+01 1.37646544e+01 1.33880071e+01 1.29477838e+01
 1.24431992e+01 1.18762089e+01 1.12506148e+01 1.05727758e+01
 9.85077228e+00 9.09494788e+00 8.31719059e+00 7.53121536e+00
 6.75191069e+00 5.99525490e+00 5.27750153e+00 4.61442636e+00
 4.01977893e+00 3.50327436e+00 3.06796905e+00 2.70808596e+00
 2.40872865e+00 2.14876753e+00 1.90624116e+00 1.66399627e+00
 1.41345683e+00 1.15581699e+00 9.00853760e-01 6.63658726e-01
 4.59682923e-01 2.99327213e-01]",192,132,0
